Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,10uF,C15525
"C2, C4",1206,2,22uF,C12891
"D1, D4",D_SMA,2,SS34,C8678
D2,0805,1,RED,C84256
D3,0805,1,GREEN,C2297
J1,TYPE-C-SMD_TYPE-C-6P,1,USB_C_Receptacle_PowerOnly_6P,C456012
L1,IND-SMD_2P-L5.0-W5.0,1,10uH,C9389
Q1,SOT-23,1,AO3401A,C15127
"R1, R2",0805,2,5.1k,C27834
R3,0805,1,2.4k,C17526
R4,0805,1,100k,C149504
"R5, R6",0805,2,1k,C17513
R7,0805,1,110k,C17422
R8,0805,1,15k,C17475
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U2,TSOT-23-6_HandSoldering,1,MT3608,C84817
