Designator,Mid X,Mid Y,Rotation,Layer
BT1,142.054,-95.684,0.0,top
C1,156.704,-89.234,90.0,top
C2,150.554,-97.984,90.0,top
C3,144.904,-91.134,180.0,top
C4,162.304,-97.234,180.0,top
D1,127.054,-91.234,90.0,top
D2,138.054,-84.984,180.0,top
D3,138.054,-87.27,180.0,top
D4,162.304,-100.484,180.0,top
F1,162.504,-87.234,90.0,top
J1,120.184,-94.234,270.0,top
J2,169.504,-92.374,270.0,top
JP1,135.304,-95.989,180.0,top
JP2,126.659,-85.234,90.0,top
JP3,128.299,-96.734,90.0,top
L1,155.804,-102.484,0.0,top
Q1,132.554,-90.234,180.0,top
R1,124.604,-102.9215,270.0,top
R2,126.636,-102.9215,270.0,top
R3,141.804,-89.234,180.0,top
R4,131.304,-85.234,90.0,top
R5,141.8915,-84.984,0.0,top
R6,141.804,-87.234,0.0,top
R7,163.1415,-94.234,180.0,top
R8,159.304,-94.234,180.0,top
TP1,132.104,-102.734,0.0,top
TP2,136.754,-102.734,0.0,top
TP3,169.704,-84.884,0.0,top
U1,150.004,-89.234,270.0,top
U2,155.804,-97.984,0.0,top
